IP:Port,Loss,Latency
162.159.195.79:7559,0%,157.74
162.159.192.244:945,0%,157.76
162.159.192.38:7152,0%,157.76
162.159.192.181:1074,0%,157.78
162.159.192.90:1701,0%,157.79
162.159.192.206:903,0%,157.79
162.159.195.44:955,0%,157.80
162.159.195.132:894,0%,157.80
162.159.192.244:7156,0%,157.81
162.159.192.67:1843,0%,157.81
162.159.192.214:3138,0%,157.82
162.159.192.180:894,0%,157.82
162.159.192.196:987,0%,157.83
162.159.192.47:4198,0%,157.84
162.159.195.7:1387,0%,157.86
162.159.195.167:928,0%,157.86
162.159.195.156:7152,0%,157.86
162.159.195.106:1014,0%,157.87
162.159.195.13:7281,0%,157.87
162.159.195.144:4500,0%,157.88
162.159.192.72:1843,0%,157.89
162.159.192.34:3476,0%,157.89
162.159.195.15:2371,0%,157.90
162.159.195.162:945,0%,157.92
162.159.192.217:8319,0%,157.93
162.159.192.199:1070,0%,157.94
162.159.195.252:968,0%,157.95
162.159.195.74:7156,0%,157.97
162.159.192.250:4500,0%,157.97
162.159.192.114:1701,0%,157.97
162.159.192.137:1843,0%,158.00
162.159.195.217:891,0%,158.00
162.159.195.209:878,0%,158.02
162.159.192.6:880,0%,158.03
162.159.192.225:878,0%,158.05
162.159.192.170:4198,0%,158.06
162.159.192.34:7152,0%,158.07
162.159.195.107:1002,0%,158.08
162.159.192.184:8854,0%,158.10
162.159.195.197:864,0%,158.11
162.159.192.64:890,0%,158.11
162.159.192.128:1387,0%,158.13
162.159.192.184:8886,0%,158.13
162.159.195.123:942,0%,158.14
162.159.192.205:3854,0%,158.15
162.159.195.183:988,0%,158.15
162.159.192.16:864,0%,158.15
162.159.195.202:878,0%,158.16
162.159.192.26:903,0%,158.16
162.159.192.236:7559,0%,158.18
162.159.192.91:878,0%,158.19
162.159.192.93:7152,0%,158.21
162.159.192.193:903,0%,158.22
162.159.192.190:1701,0%,158.23
162.159.195.226:8886,0%,158.24
162.159.192.30:968,0%,158.24
162.159.192.85:1180,0%,158.25
162.159.195.192:4233,0%,158.25
162.159.192.153:2506,0%,158.26
162.159.195.83:1018,0%,158.27
162.159.192.38:1180,0%,158.28
162.159.192.32:2408,0%,158.29
162.159.192.69:891,0%,158.29
162.159.192.249:928,0%,158.31
162.159.195.29:859,0%,158.31
162.159.195.204:1387,0%,158.32
162.159.192.15:4198,0%,158.34
162.159.195.164:934,0%,158.34
162.159.192.232:3581,0%,158.35
162.159.192.48:8854,0%,158.35
162.159.195.246:1010,0%,158.36
162.159.192.133:894,0%,158.37
162.159.192.231:880,0%,158.37
162.159.192.31:1070,0%,158.39
162.159.192.244:946,0%,158.40
162.159.192.38:1701,0%,158.41
162.159.195.61:903,0%,158.41
162.159.195.52:4500,0%,158.42
162.159.195.178:903,0%,158.44
162.159.195.122:3476,0%,158.44
162.159.192.48:1180,0%,158.45
162.159.192.214:903,0%,158.46
162.159.192.125:8886,0%,158.48
162.159.195.136:968,0%,158.50
162.159.192.224:2506,0%,158.51
162.159.195.180:1180,0%,158.52
162.159.192.54:5956,0%,158.52
162.159.192.54:2371,0%,158.53
162.159.192.21:955,0%,158.55
162.159.192.231:878,0%,158.56
162.159.195.115:3476,0%,158.57
162.159.192.11:1387,0%,158.59
162.159.192.179:854,0%,158.61
162.159.192.210:7103,0%,158.61
162.159.195.86:988,0%,158.62
162.159.195.151:968,0%,158.64
162.159.195.84:7281,0%,158.65
162.159.192.180:908,0%,158.65
162.159.192.34:7559,0%,158.66
162.159.195.125:1387,0%,158.67
162.159.195.124:8742,0%,158.71
162.159.192.173:1387,0%,158.72
162.159.192.22:7152,0%,158.73
162.159.192.114:3581,0%,158.75
162.159.192.201:1070,0%,158.77
162.159.195.183:928,0%,158.78
162.159.195.226:939,0%,158.78
162.159.192.117:908,0%,158.81
162.159.195.6:500,0%,158.82
162.159.195.152:955,0%,158.83
162.159.192.66:890,0%,158.83
162.159.192.185:934,0%,158.84
162.159.195.151:1014,0%,158.85
162.159.192.57:3581,0%,158.87
162.159.195.192:1387,0%,158.87
162.159.192.175:4177,0%,158.89
162.159.195.91:894,0%,158.89
162.159.192.234:4233,0%,158.91
162.159.195.199:3476,0%,158.95
162.159.195.35:880,0%,158.96
162.159.195.115:4177,0%,158.96
162.159.192.101:2408,0%,158.98
162.159.192.25:928,0%,159.00
162.159.192.66:7156,0%,159.03
162.159.192.24:2371,0%,159.03
162.159.195.209:1180,0%,159.05
162.159.192.71:4233,0%,159.08
162.159.192.166:1014,0%,159.09
162.159.195.167:5956,0%,159.14
162.159.195.215:8886,0%,159.15
162.159.195.152:903,0%,159.15
162.159.195.154:1018,0%,159.21
162.159.195.204:4198,0%,159.21
162.159.192.134:1180,0%,159.23
162.159.195.240:891,0%,159.26
162.159.195.249:2408,0%,159.26
162.159.192.203:891,0%,159.27
162.159.192.111:3138,0%,159.27
162.159.195.245:1074,0%,159.30
162.159.192.214:2408,0%,159.33
162.159.192.89:7281,0%,159.33
162.159.192.154:934,0%,159.33
162.159.192.48:4198,0%,159.34
162.159.192.254:7281,0%,159.36
162.159.195.117:859,0%,159.39
162.159.192.127:1387,0%,159.39
162.159.192.28:890,0%,159.41
162.159.192.209:7103,0%,159.43
162.159.192.207:2371,0%,159.45
162.159.195.84:7103,0%,159.48
162.159.195.229:8854,0%,159.49
162.159.192.92:1070,0%,159.49
162.159.195.64:3138,0%,159.52
162.159.195.190:1701,0%,159.59
162.159.195.31:1014,0%,159.62
162.159.195.82:1010,0%,159.64
162.159.192.130:880,0%,159.71
162.159.195.144:4198,0%,159.71
162.159.195.53:2371,0%,159.75
162.159.195.59:1002,0%,159.76
162.159.192.83:988,0%,159.76
162.159.195.65:955,0%,159.80
162.159.192.238:1014,0%,159.85
162.159.192.202:5956,0%,159.87
162.159.195.171:8886,0%,159.96
162.159.192.86:1070,0%,160.02
162.159.195.127:859,0%,160.03
162.159.192.40:8854,0%,160.11
162.159.192.93:7559,0%,160.50
162.159.195.196:939,0%,160.54
162.159.195.113:942,0%,160.59
162.159.195.36:945,0%,160.64
162.159.192.63:7281,0%,160.71
162.159.192.224:3476,0%,160.82
162.159.195.83:500,0%,161.00
162.159.192.130:1180,0%,161.09
162.159.195.204:7281,0%,161.12
162.159.195.164:7559,0%,161.34
162.159.195.45:4177,0%,161.36
162.159.192.213:988,0%,161.92
162.159.192.145:7103,0%,161.93
162.159.192.234:1074,0%,161.94
162.159.192.178:939,0%,162.46
162.159.192.106:946,0%,162.95
162.159.192.39:8886,0%,163.16
162.159.192.142:1701,0%,163.22
162.159.195.150:943,0%,163.43
162.159.195.119:1180,0%,163.45
162.159.195.203:3581,0%,163.55
162.159.195.90:968,0%,163.57
162.159.192.50:854,0%,163.57
162.159.195.37:4177,0%,163.57
162.159.195.16:3138,0%,163.68
162.159.195.1:946,0%,163.70
162.159.192.131:955,0%,163.78
162.159.195.251:1843,0%,163.80
162.159.192.23:7281,0%,163.81
162.159.195.136:5956,0%,163.89
162.159.195.163:3581,0%,163.89
162.159.192.65:946,0%,163.89
162.159.192.44:1070,0%,163.91
162.159.192.3:928,0%,163.93
162.159.195.185:1074,0%,163.95
162.159.192.61:854,0%,164.01
162.159.192.18:1701,0%,164.05
162.159.192.118:945,0%,164.10
162.159.195.190:7281,0%,164.12
162.159.195.214:1701,0%,164.15
162.159.192.95:2371,0%,164.17
162.159.192.204:890,0%,164.17
162.159.192.36:903,0%,164.20
162.159.192.217:928,0%,164.25
162.159.192.242:1002,0%,164.26
162.159.192.254:8742,0%,164.28
162.159.192.68:7156,0%,164.29
162.159.192.137:1002,0%,164.30
162.159.192.216:943,0%,164.30
162.159.192.195:864,0%,164.34
162.159.192.29:7103,0%,164.34
162.159.192.172:2371,0%,164.36
162.159.195.156:2506,0%,164.36
162.159.192.26:7559,0%,164.38
162.159.195.212:891,0%,164.41
162.159.192.197:4198,0%,164.43
162.159.195.62:945,0%,164.44
162.159.195.203:955,0%,164.46
162.159.195.121:1070,0%,164.46
162.159.192.112:7559,0%,164.48
162.159.195.168:928,0%,164.54
162.159.195.19:8319,0%,164.54
162.159.192.94:1010,0%,164.56
162.159.195.88:878,0%,164.56
162.159.192.18:1018,0%,164.59
162.159.192.201:2408,0%,164.59
162.159.192.17:854,0%,164.60
162.159.195.47:1018,0%,164.62
162.159.192.45:1070,0%,164.62
162.159.192.147:988,0%,164.63
162.159.192.108:939,0%,164.64
162.159.195.26:3138,0%,164.64
162.159.195.13:987,0%,164.64
162.159.192.147:943,0%,164.64
162.159.192.90:880,0%,164.65
162.159.192.20:939,0%,164.68
162.159.192.63:1074,0%,164.69
162.159.195.120:8742,0%,164.69
162.159.192.81:955,0%,164.71
162.159.192.79:988,0%,164.71
162.159.192.154:3854,0%,164.71
162.159.192.140:7152,0%,164.74
162.159.195.232:880,0%,164.74
162.159.195.107:988,0%,164.75
162.159.192.5:7152,0%,164.77
162.159.192.222:2506,0%,164.78
162.159.192.115:7152,0%,164.81
162.159.192.36:934,0%,164.81
162.159.195.55:1074,0%,164.81
162.159.192.27:894,0%,164.82
162.159.195.111:880,0%,164.82
162.159.192.180:3476,0%,164.82
162.159.192.77:3476,0%,164.84
162.159.195.134:943,0%,164.85
162.159.195.81:3476,0%,164.85
162.159.195.178:2506,0%,164.87
162.159.195.80:934,0%,164.88
162.159.195.190:1843,0%,164.88
162.159.192.252:903,0%,164.89
162.159.192.108:1002,0%,164.89
162.159.192.119:7103,0%,164.89
162.159.192.79:3854,0%,164.90
162.159.195.107:3138,0%,164.91
162.159.195.116:939,0%,164.91
162.159.195.70:5279,0%,164.92
162.159.192.180:942,0%,164.93
162.159.195.66:3581,0%,164.93
162.159.195.207:864,0%,164.94
162.159.195.151:1074,0%,164.96
162.159.195.155:859,0%,164.96
162.159.195.192:987,0%,164.98
162.159.192.65:500,0%,164.98
162.159.192.154:1014,0%,164.98
162.159.195.155:880,0%,164.98
162.159.192.69:988,0%,164.99
162.159.195.117:4233,0%,165.04
162.159.192.215:945,0%,165.04
162.159.192.139:7156,0%,165.04
162.159.195.169:7103,0%,165.04
162.159.195.187:5279,0%,165.05
162.159.192.113:3476,0%,165.05
162.159.195.176:934,0%,165.08
162.159.195.102:942,0%,165.08
162.159.192.103:946,0%,165.08
162.159.192.217:1002,0%,165.13
162.159.192.162:864,0%,165.13
162.159.192.127:968,0%,165.14
162.159.195.171:854,0%,165.15
162.159.195.147:854,0%,165.15
162.159.192.171:1387,0%,165.16
162.159.192.55:7559,0%,165.16
162.159.192.242:2371,0%,165.16
162.159.192.38:955,0%,165.17
162.159.195.250:8886,0%,165.18
162.159.195.174:3138,0%,165.21
162.159.192.214:894,0%,165.22
162.159.192.203:894,0%,165.23
162.159.195.28:908,0%,165.23
162.159.192.92:8742,0%,165.24
162.159.195.49:1387,0%,165.24
162.159.195.227:1018,0%,165.24
162.159.192.8:946,0%,165.25
162.159.195.136:908,0%,165.26
162.159.195.209:859,0%,165.28
162.159.192.93:987,0%,165.28
162.159.192.45:3476,0%,165.29
162.159.192.136:854,0%,165.33
162.159.192.134:1014,0%,165.34
162.159.195.43:1018,0%,165.34
162.159.192.136:878,0%,165.35
162.159.195.37:5956,0%,165.36
162.159.192.115:8742,0%,165.36
162.159.195.80:2371,0%,165.36
162.159.192.204:1180,0%,165.37
162.159.195.218:1018,0%,165.39
162.159.192.71:908,0%,165.40
162.159.195.4:5279,0%,165.40
162.159.192.6:968,0%,165.41
162.159.192.183:7156,0%,165.41
162.159.195.49:8886,0%,165.41
162.159.192.73:946,0%,165.43
162.159.195.24:968,0%,165.43
162.159.195.163:7152,0%,165.44
162.159.195.134:1010,0%,165.45
162.159.192.60:1070,0%,165.46
162.159.192.71:894,0%,165.48
